seed                 manhattan    sol   modified  sol   diff
52346170d9a8efcb          6362    20    * 2597    20    3765
238416bc59feda70          3706    20    * 291     20    3415
6123a7405db89efc          5065    20    * 346     20    4719
1247d6305ab89efc          10893   20    * 460     20    10433
623415b79a8cd0ef          1125  - 16    * 548   + 20    577
51429673aeb8d0fc          2354    18    * 313     18    2041
26341b8c5d7f9ae0          4658    20    * 358     20    4300
1248503f967bdeca          7738    20    * 305     20    7433
1234d96705acef8b          1999    18    * 1671    18    328
1234567b9a0fde8c          2263    16    * 245     16    2018
513428ac9e6fd07b          1059  - 18    * 143   + 20    916
12045637aebd9fc8          5039    20    * 321     20    4718
123468b75c0f9dae          6736    20    * 228     20    6508
264817305dafe9cb          2141    20    * 33      20    2108
12345e689c0bdf7a          3624  - 18    * 393   + 20    3231
162453a709ecdfb8          8013  - 20    * 1318  + 22    6695
127356b4fe08a9dc          1484  - 18    * 733   + 20    751
512360c4d7b8a9ef          4677    20    * 2418    20    2259
072315b4d6c8a9ef          853     18    * 632     18    221
65021a73d9b4efc8          1538    20    * 128     20    1410
51246a379c08bdef          4854  - 20    * 521   + 24    4333
51739264acb8d0ef        * 500   - 16      616   + 24    116
a56310289b47defc          5017  - 20    * 2668  + 22    2349
9163a024d7b8e5fc          3094  - 20    * 244   + 22    2850
9134207a65c8debf          1669    18    * 274     18    1395
1234ad7856ecb09f          5270  - 20    * 1284  + 22    3986
9273a15406b8defc          6029    20    * 3409    20    2620
03145a276bf89dec          3503    20    * 958     20    2545
367521409ab8defc          3697    20    * 1474    20    2223
2348916c057fdbae          3116  - 20    * 1698  + 26    1418
13045267daf9ebc8          3780    20    * 2826    20    954
3704128c5abf96de          2214    20    * 731     20    1483
36241580ea7b9dfc          5563    20    * 264     20    5299
16239574deb8fac0          1283    18    * 121     18    1162
2304156c978fdbae          1145    18    * 213     18    932
253416b7de98a0fc          6921    20    * 252     20    6669
634821b705ec9adf          2836    20    * 158     20    2678
2347596801fbdaec          5175    20    * 2650    20    2525
1234568c09fbdae7          410     14    * 104     14    306
1273b964adc850ef        * 3645    20      8066    20    4421
06231a7459b8defc          36      10    * 10      10    26
0283197465ecdbaf          3838    20    * 124     20    3714
120756439abcde8f          422     14    * 78      14    344
5103a2649f78decb          5353    20    * 601     20    4752
1248d57306ecab9f          3583    20    * 213     20    3370
6a2410379b58defc          2654    18    * 1779    18    875
123457b80aec6d9f          3170    18    * 402     18    2768
12036984ab7e5dfc          3998  - 20    * 229   + 22    3769
23471568abec9df0          4180    20    * 412     20    3768
5124a9836c07debf          5043  - 20    * 4272  + 26    771
92345018a76cdebf          4101    18    * 1735    18    2366
51239674df0ceb8a          3945    20    * 2888    20    1057
513792806ea4dbfc          4354  - 20    * 1303  + 24    3051
134b5260da8ce97f          4183    20    * 116     20    4067
234b16c75a089def          1467  - 18    * 320   + 24    1147
513420ca9768debf          638     16    * 121     16    517
14085263ab7c9def          205     14    * 171     14    34
52139640dab7efc8          4476    20    * 1468    20    3008
5134d2b807cf69ae          2188    20    * 241     20    1947
51379284df0ba6ec        * 3336    20      4495    20    1159
23041e685d7c9abf          6772    20    * 5532    20    1240
1394607852afdecb          5487    20    * 219     20    5268
123495a8d7bce0f6          2604    18    * 705     18    1899
618352740dbca9ef          4835    20    * 353     20    4482
634821c75a0f9deb          2696    20    * 112     20    2584
1602b38459ecd7af          2171    20    * 775     20    1396
124756809e3badfc          8822    20    * 2056    20    6766
234815609ae7dbfc          2110    18    * 341     18    1769
0348157cd2af69eb          1614    20    * 359     20    1255
123457a8df9be6c0          526     16    * 109     16    417
0124a6375e8c9dfb          5747    20    * 1811    20    3936
1234906c85f7daeb          6428    20    * 742     20    5686
16239074d58cbaef          6107    20    * 449     20    5658
05f321649a87decb          2117    20    * 179     20    1938
513426b79e0adc8f          5271  - 20    * 640   + 22    4631
1384527ca6fb90de          6173  - 20    * 5743  + 24    430
3674208b15ea9dfc          2751    20    * 945     20    1806
12345678d90facbe          304     14    * 99      14    205
1234d598076cefba          5289    20    * 696     20    4593
513427ba9608defc          344   - 14    * 227   + 16    117
124756c8930bdaef          12560   20    * 2842    20    9718
95231087a6b4defc          7287    20    * 1749    20    5538
5136924ca708debf          5657    20    * 980     20    4677
14075628a3bc9def          6457    20    * 564     20    5893
240316875eac9dbf          6356    20    * 892     20    5464
25631ea49f78d0cb          2731    20    * 394     20    2337
1273d540e6a89bfc          4983    20    * 667     20    4316
12035674eab89dfc          157     12    * 62      12    95
0183526497ebdafc          7028    20    * 233     20    6795
12c35640ad8f9e7b          3287    20    * 128     20    3159
23071584a6bc9def        * 217     14      385     14    168
16825374edac9bf0          2631    20    * 346     20    2285
16285a730ef49dcb          4273  - 20    * 273   + 22    4000
51249638dbcfe07a          4274  - 20    * 976   + 24    3298
12346ba75d8ce09f          2025  - 18    * 320   + 20    1705
2634d578190cebaf          6592    20    * 332     20    6260
6354a028197cdebf          2005    18    * 1607    18    398
2648973c1abf5de0          2706    20    * 310     20    2396
610452389a7fdecb          2970    18    * 881     18    2089
07621543eab89dfc          2575    20    * 236     20    2339

Manhattan :    avg 3771.57;     min    36;      max 12560
Modified  :    avg 992.59;      min    10;      max 8066
